DB_ID	Start_Coordiate	End_Coordinate	Old_Display_Name	New_Display_Name		 
350792	1	-1	ACF isoform-6 [nucleoplasm]	A1CF [nucleoplasm]		
350794	1	-1	ACF isoform-2 [nucleoplasm]	A1CF [nucleoplasm]		
77604	1	-1	ACF isoform-1 [nucleoplasm]	A1CF [nucleoplasm]		
350793	1	-1	ACF isoform-3 [nucleoplasm]	A1CF [nucleoplasm]		
2466821	1	2273	ABCA4 G863A mutant [photoreceptor outer segment membrane]	ABCA4 [photoreceptor outer segment membrane]		
2466780	1	2273	ABCA4 G1961E mutant [photoreceptor outer segment membrane]	ABCA4 [photoreceptor outer segment membrane]		
2466850	1	2273	ABCA4 A1028V mutant [photoreceptor outer segment membrane]	ABCA4 [photoreceptor outer segment membrane]		
2466827	1	2273	ABCA4 R943Q mutant [photoreceptor outer segment membrane]	ABCA4 [photoreceptor outer segment membrane]		
382561	1	-1	ABCB7-1 [mitochondrial inner membrane]	ABCB7 [mitochondrial inner membrane]		
1368993	null	752	ABC7 [mitochondrial inner membrane]	ABCB7 [mitochondrial inner membrane]		
382557	1	-1	ABCB7-2 [mitochondrial inner membrane]	ABCB7 [mitochondrial inner membrane]		
265576	1	-1	SUR1-2 [plasma membrane]	ABCC8 [plasma membrane]		
265751	1	-1	SUR1-1 [plasma membrane]	ABCC8 [plasma membrane]		
448770	2	1581	SUR1 [plasma membrane]	ABCC8 [plasma membrane]		
382599	1	-1	ABCD3-3 [cytosol]	ABCD3 [cytosol]		
382592	1	-1	ABCD3-1 [cytosol]	ABCD3 [cytosol]		
382611	1	-1	ABCD3-2 [cytosol]	ABCD3 [cytosol]		
382578	1	-1	ABCD3-2 [peroxisomal membrane]	ABCD3 [peroxisomal membrane]		
382573	1	-1	ABCD3-1 [peroxisomal membrane]	ABCD3 [peroxisomal membrane]		
382581	1	-1	ABCD3-3 [peroxisomal membrane]	ABCD3 [peroxisomal membrane]		
194224	1	-1	ABCG1 isoform 5 [cytosol]	ABCG1 [cytosol]		
194204	1	-1	ABCG1 isoform 8 [cytosol]	ABCG1 [cytosol]		
194246	1	-1	ABCG1 isoform 2 [cytosol]	ABCG1 [cytosol]		
194240	1	-1	ABCG1 isoform 3 [cytosol]	ABCG1 [cytosol]		
194250	1	-1	ABCG1 isoform 4 [cytosol]	ABCG1 [cytosol]		
194225	1	-1	ABCG1 isoform 1 [cytosol]	ABCG1 [cytosol]		
194232	1	-1	ABCG1 isoform 6 [cytosol]	ABCG1 [cytosol]		
194261	1	-1	ABCG1 isoform 7 [cytosol]	ABCG1 [cytosol]		
194234	1	-1	ABCG1 isoform 2 [Golgi membrane]	ABCG1 [Golgi membrane]		
194257	1	-1	ABCG1 isoform 4 [Golgi membrane]	ABCG1 [Golgi membrane]		
194210	1	-1	ABCG1 isoform 3 [Golgi membrane]	ABCG1 [Golgi membrane]		
194267	1	-1	ABCG1 isoform 5 [Golgi membrane]	ABCG1 [Golgi membrane]		
194216	1	-1	ABCG1 isoform 7 [Golgi membrane]	ABCG1 [Golgi membrane]		
194251	1	-1	ABCG1 isoform 1 [Golgi membrane]	ABCG1 [Golgi membrane]		
194268	1	-1	ABCG1 isoform 6 [Golgi membrane]	ABCG1 [Golgi membrane]		
194256	1	-1	ABCG1 isoform 8 [Golgi membrane]	ABCG1 [Golgi membrane]		
194205	1	-1	ABCG1 isoform 1 [plasma membrane]	ABCG1 [plasma membrane]		
194242	1	-1	ABCG1 isoform 3 [plasma membrane]	ABCG1 [plasma membrane]		
194228	1	-1	ABCG1 isoform 5 [plasma membrane]	ABCG1 [plasma membrane]		
194243	1	-1	ABCG1 isoform 8 [plasma membrane]	ABCG1 [plasma membrane]		
194255	1	-1	ABCG1 isoform 2 [plasma membrane]	ABCG1 [plasma membrane]		
194202	1	-1	ABCG1 isoform 6 [plasma membrane]	ABCG1 [plasma membrane]		
194208	1	-1	ABCG1 isoform 7 [plasma membrane]	ABCG1 [plasma membrane]		
194229	1	-1	ABCG1 isoform 4 [plasma membrane]	ABCG1 [plasma membrane]		
200976	1	-1	Abi1_6 [cytosol]	ABI1 [cytosol]		
200980	1	-1	Abl1_8 [cytosol]	ABI1 [cytosol]		
200974	1	-1	Abl1_9 [cytosol]	ABI1 [cytosol]		
200981	1	-1	Abi1_7 [cytosol]	ABI1 [cytosol]		
200978	1	-1	Abi1_1 [cytosol]	ABI1 [cytosol]		
200964	1	-1	Abi1_2 [cytosol]	ABI1 [cytosol]		
2029034	2	508	p-5S-ABI1 [cytosol]	ABI1 [cytosol]		
200982	1	-1	Abi1_5 [cytosol]	ABI1 [cytosol]		
194950	1	-1	Abr variant2 [cytosol]	ABR [cytosol]		
194926	1	-1	Abr variant1 [cytosol]	ABR [cytosol]		
200564	1	-1	ACC1 isoform 1 [cytosol]	ACACA [cytosol]		
200561	1	-1	ACC1 isoform 4 [cytosol]	ACACA [cytosol]		
200559	1	-1	ACC1 isoform 3 [cytosol]	ACACA [cytosol]		
200556	1	-1	ACC1 isoform 2 [cytosol]	ACACA [cytosol]		
52493	1	-1	ACC2 [cytosol]	ACACB [cytosol]		
200404	1	-1	Inactive phospho-ACC 2 [cytosol]	ACACB [cytosol]		
